Ticker,AAPL,AMGN,AMZN,AXP,BA,BTC-USD,CAT,CRM,CSCO,CVX,DIS,GC=F,GLD,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT,^IRX,^TNX,AAPL,AMGN,AMZN,AXP,BA,BTC-USD,CAT,CRM,CSCO,CVX,DIS,GC=F,GLD,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT,^IRX,^TNX
Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,314.2489929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8036550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,24.23755074,116.436554,15.42599964,79.46622467,113.6572266,315.0320129,69.32037354,58.62333298,19.81561661,70.20956421,85.94352722,1186,114.0800018,157.1490784,80.41870117,71.67829895,98.12304688,76.95558167,46.72093201,29.99260521,71.09454346,96.10853577,39.10074997,39.85845184,41.64569473,0.4830382764,66.51831818,78.92681885,83.0991745,85.04850769,61.34097672,26.57320213,23.26656342,0.01499999966,2.122999907,212818400,2605400,55664000,2437500,4294200,7860650,3767900,2796400,22926500,5898800,5865400,138,7109600,1877700,4323700,2369019,5779673,5753600,12600000,9921100,6019700,2531214,7415962,27913900,4985800,113680000,7251400,1700400,1270800,3060900,8389600,11421200,13505400,0,0
2015-01-03,,,,,,281.0820007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33054400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,,,,,,264.1950073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55629100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,23.55474663,115.0528564,15.10949993,77.3646698,112.8700638,274.473999,65.66123199,57.56446838,19.42087936,67.40314484,84.68758392,1203.900024,115.8000031,152.2424316,78.73149872,70.31238556,96.57911682,76.41809845,45.27046585,29.99260521,70.30934906,93.94106293,39.68190002,39.49192047,40.97518539,0.4748796225,66.20207977,78.6922226,82.0982666,83.64759827,59.98694229,26.35250473,23.19885254,0.003000000026,2.039000034,257142000,4080300,55484000,3469600,5024800,43962800,11301400,3688200,29460600,11758100,7789400,470,8177400,3413200,5878100,3511962,5104898,8079300,20100600,26292600,6211900,4416708,16727338,39673900,6889200,197952000,8626100,2161800,1728700,4679000,12751200,18964500,20937000,0,0
2015-01-06,23.55695915,111.3462067,14.76449966,75.71588898,111.5406265,286.1889954,65.2387085,56.60456467,19.41369438,67.37197113,84.23838806,1219.300049,117.1200027,149.162674,78.490448,70.14789581,94.49625397,76.04258728,44.09667587,30.22034454,70.43894958,92.93930054,41.24071884,38.9122963,40.73415756,0.4604821503,65.9005127,78.45462036,81.36531067,83.47882843,59.60041809,26.61847115,23.37761497,0.01999999955,1.963000059,263188400,5075800,70380000,4800300,4992800,23245700,8660600,3174900,47297600,11591600,6793100,97,11238300,3429200,4910100,4709103,6429448,7428000,29074100,16897500,6484100,4224272,25453510,36447900,7576000,197764000,7791200,2133000,2350900,3468300,11070000,22950100,24615300,0,0
2015-01-07,23.88728142,115.2349548,14.92099953,77.36952209,113.272377,294.3370056,66.24971771,56.33737946,19.59311676,67.31585693,85.10012054,1210.599976,116.4300003,151.3855743,81.18069458,70.65564728,93.878685,77.72128296,44.16394806,30.59758186,71.66630554,93.61299133,42.12269974,39.40667343,41.57558823,0.459282279,66.24622345,79.79294586,82.75241852,84.33118439,60.39894485,26.44669533,23.99787903,0.01999999955,1.953999996,160423600,3502400,52806000,5665200,3573200,24866800,6511100,4284300,27570800,10353800,6589500,29,6434200,1896800,5091000,2905101,4918083,7931700,23843200,13412300,6400300,3685235,19528956,29114100,7256000,321808000,5986600,2487300,1558200,3225800,9346800,20793600,25495200,0,0
2015-01-08,24.8050766,114.8198776,15.02299976,78.46623993,115.2752686,283.348999,66.92871857,57.98009872,19.74384117,68.85626984,85.98018646,1208.400024,115.9400024,153.8025665,82.97673035,71.94287872,95.91913605,78.33238983,45.15086365,30.96768379,71.93309021,95.85665894,42.97049332,40.56594849,42.53530884,0.476559341,67.00376129,81.97634888,84.47052002,88.35657501,61.20903778,27.01353264,24.50437927,0.01799999923,2.016000032,237458000,4560200,61768000,3774200,4503400,19982500,7617800,3756600,40907000,8650800,7579400,92,7033700,1962500,6464600,2850235,4431693,9916000,16971100,21743600,5476700,3758908,20038808,29645200,5978200,283780000,6823300,3236100,1941200,5346100,10443200,17617500,38140800,0,0
