Date,AAPL.1,AMGN.1,AMZN.1,AXP.1,BA.1,BTC-USD.1,CAT.1,CRM.1,CSCO.1,CVX.1,DIS.1,GC=F.1,GLD.1,GS.1,HD.1,HON.1,IBM.1,JNJ.1,JPM.1,KO.1,MCD.1,MMM.1,MRK.1,MSFT.1,NKE.1,NVDA.1,PG.1,SHW.1,TRV.1,UNH.1,V.1,VZ.1,WMT.1,^IRX.1,^TNX.1
2015-01-02,212818400.0,2605400.0,55664000.0,2437500.0,4294200.0,7860650,3767900.0,2796400.0,22926500.0,5898800.0,5865400.0,138.0,7109600.0,1877700.0,4323700.0,2369019.0,5779673.0,5753600.0,12600000.0,9921100.0,6019700.0,2531214.0,7415962.0,27913900.0,4985800.0,113680000.0,7251400.0,1700400.0,1270800.0,3060900.0,8389600.0,11421200.0,13505400.0,0.0,0.0
2015-01-05,257142000.0,4080300.0,55484000.0,3469600.0,5024800.0,43962800,11301400.0,3688200.0,29460600.0,11758100.0,7789400.0,470.0,8177400.0,3413200.0,5878100.0,3511962.0,5104898.0,8079300.0,20100600.0,26292600.0,6211900.0,4416708.0,16727338.0,39673900.0,6889200.0,197952000.0,8626100.0,2161800.0,1728700.0,4679000.0,12751200.0,18964500.0,20937000.0,0.0,0.0
2015-01-06,263188400.0,5075800.0,70380000.0,4800300.0,4992800.0,23245700,8660600.0,3174900.0,47297600.0,11591600.0,6793100.0,97.0,11238300.0,3429200.0,4910100.0,4709103.0,6429448.0,7428000.0,29074100.0,16897500.0,6484100.0,4224272.0,25453510.0,36447900.0,7576000.0,197764000.0,7791200.0,2133000.0,2350900.0,3468300.0,11070000.0,22950100.0,24615300.0,0.0,0.0
2015-01-07,160423600.0,3502400.0,52806000.0,5665200.0,3573200.0,24866800,6511100.0,4284300.0,27570800.0,10353800.0,6589500.0,29.0,6434200.0,1896800.0,5091000.0,2905101.0,4918083.0,7931700.0,23843200.0,13412300.0,6400300.0,3685235.0,19528956.0,29114100.0,7256000.0,321808000.0,5986600.0,2487300.0,1558200.0,3225800.0,9346800.0,20793600.0,25495200.0,0.0,0.0
2015-01-08,237458000.0,4560200.0,61768000.0,3774200.0,4503400.0,19982500,7617800.0,3756600.0,40907000.0,8650800.0,7579400.0,92.0,7033700.0,1962500.0,6464600.0,2850235.0,4431693.0,9916000.0,16971100.0,21743600.0,5476700.0,3758908.0,20038808.0,29645200.0,5978200.0,283780000.0,6823300.0,3236100.0,1941200.0,5346100.0,10443200.0,17617500.0,38140800.0,0.0,0.0
2015-01-09,214798000.0,3949100.0,51848000.0,3681700.0,3056400.0,18718600,4857100.0,6875300.0,33619600.0,9584500.0,8621300.0,43.0,7962900.0,1980700.0,5717600.0,2950952.0,4694762.0,7364800.0,15396200.0,12733500.0,4283300.0,2844806.0,13245358.0,23944200.0,4689000.0,209540000.0,4872800.0,2910900.0,1416600.0,3397600.0,10523600.0,13037600.0,25567500.0,0.0,0.0
2015-01-12,198603200.0,2700700.0,68428000.0,3230700.0,3552700.0,18880300,4351600.0,2724500.0,38648400.0,8912300.0,6586200.0,100.0,8318200.0,2084200.0,4992900.0,3071367.0,4380230.0,6839000.0,15455200.0,11415800.0,3989600.0,2570443.0,12124312.0,23651900.0,5630800.0,190732000.0,5250900.0,2710800.0,1547200.0,3051500.0,6425600.0,12730300.0,22117500.0,0.0,0.0
2015-01-13,268367600.0,4570400.0,82728000.0,3537600.0,3441700.0,72843904,5078100.0,3509100.0,36074200.0,13277700.0,9364300.0,20.0,7693200.0,2745300.0,5395200.0,3809216.0,4578865.0,10151100.0,21644700.0,12529500.0,5971200.0,3232788.0,10516890.0,35270600.0,6182200.0,236720000.0,6727100.0,2356800.0,2086900.0,3856500.0,10284000.0,13072800.0,24646200.0,0.0,0.0
2015-01-14,195826400.0,3426400.0,110774000.0,6628400.0,3559500.0,97638704,10366700.0,3098400.0,29494400.0,14116900.0,6509300.0,21.0,7727400.0,5204700.0,5384400.0,3449195.0,4906054.0,8887700.0,49602300.0,13447600.0,7745500.0,2372266.0,10331289.0,29719600.0,6750400.0,155260000.0,6418200.0,2083800.0,2142900.0,4725600.0,12225200.0,14795900.0,35862900.0,0.0,0.0
2015-01-15,240056000.0,2894000.0,88384000.0,5830900.0,3902000.0,81773504,6683900.0,4821000.0,29521100.0,9664600.0,5662200.0,130.0,17692500.0,3146000.0,6895000.0,3889345.0,4443826.0,10834800.0,42458100.0,11193100.0,5737500.0,2244653.0,10023701.0,32750800.0,4235000.0,188932000.0,6768200.0,2163600.0,1547200.0,5888900.0,10569200.0,12475800.0,28238100.0,0.0,0.0
2015-01-16,314053200.0,3513200.0,69564000.0,6768700.0,4425600.0,38421000,10424800.0,3236700.0,26655100.0,12604600.0,6117000.0,44.0,14428200.0,5124100.0,6403800.0,5375059.0,6020776.0,14092300.0,29368900.0,15114900.0,6927000.0,2810241.0,11917018.0,35695300.0,8770000.0,181512000.0,8815700.0,2506200.0,2137100.0,6045500.0,11137200.0,18050200.0,25226700.0,0.0,0.0
2015-01-20,199599600.0,3664400.0,61502000.0,6364100.0,3143700.0,24051100,5937300.0,6521500.0,33684200.0,10406800.0,7940600.0,157.0,14968600.0,3606600.0,5331300.0,4231226.0,8778869.0,20460000.0,23477700.0,17047300.0,6967300.0,2501793.0,13734983.0,36161900.0,9403800.0,140308000.0,9869900.0,1917900.0,2226800.0,6526800.0,14933200.0,16460300.0,23559300.0,0.0,0.0
2015-01-21,194303600.0,2804900.0,201302000.0,7185700.0,2898000.0,29924600,6613100.0,3544900.0,29298500.0,8271000.0,7474700.0,78.0,11082700.0,3737000.0,5899200.0,2788135.0,12444367.0,11702900.0,21842400.0,10720600.0,8682200.0,1910849.0,9517307.0,39081100.0,5854000.0,144780000.0,6974500.0,1651200.0,2517800.0,8293700.0,9784000.0,24880200.0,24521400.0,0.0,0.0
2015-01-22,215185600.0,3783100.0,107252000.0,16390100.0,4971300.0,33544600,5567800.0,5481500.0,49494700.0,7471100.0,7014200.0,131.0,10518400.0,6228200.0,5804100.0,4926229.0,6401625.0,9036600.0,31423500.0,14709100.0,7536400.0,2662057.0,8902131.0,35898000.0,6952400.0,159712000.0,7211200.0,1782000.0,3486800.0,8055200.0,11566000.0,38451100.0,21371400.0,0.0,0.0
2015-01-23,185859200.0,2249400.0,89928000.0,7366100.0,3828300.0,24621700,5027500.0,3887300.0,21802500.0,7984400.0,4664700.0,23.0,6270900.0,3123800.0,4072300.0,6546492.0,5057201.0,10126000.0,15458300.0,12357700.0,11496000.0,2685738.0,6528097.0,26211600.0,6781000.0,120416000.0,6745700.0,1452000.0,1885300.0,5256000.0,6166800.0,24317800.0,22697400.0,0.0,0.0
2015-01-26,222460000.0,3149600.0,63394000.0,6632800.0,3900500.0,106794000,8140500.0,4753200.0,18370100.0,7670500.0,5446900.0,26.0,6768600.0,2736500.0,4192300.0,3672442.0,8250953.0,8962800.0,12577700.0,11151900.0,7753300.0,4253335.0,7036901.0,42525500.0,4964000.0,133240000.0,9371700.0,1414800.0,1806400.0,4203400.0,8552400.0,15064400.0,14000100.0,0.0,0.0
2015-01-27,382274800.0,2876300.0,58406000.0,6329500.0,5243900.0,44399000,27489500.0,4150700.0,46110500.0,6388700.0,5390000.0,20.0,9584800.0,3335600.0,4606500.0,2800266.0,5919942.0,10160500.0,15220500.0,15274000.0,6640800.0,5012077.0,8347425.0,169164000.0,6696800.0,357948000.0,14417400.0,1882500.0,1681100.0,4718300.0,11027600.0,17008900.0,18061500.0,0.0,0.0
2015-01-28,585908400.0,4927100.0,61276000.0,7942200.0,14355100.0,44352200,14269300.0,4683400.0,32381700.0,10526500.0,6198400.0,180387.0,8470600.0,3017300.0,4917300.0,4243579.0,4702711.0,9053200.0,24354400.0,14278500.0,6921300.0,4275222.0,9293769.0,84507100.0,6402600.0,272728000.0,14033400.0,2055300.0,2262700.0,6633500.0,11430800.0,19575800.0,17810400.0,0.0,0.0
2015-01-29,337745600.0,3435500.0,173132000.0,7545900.0,15161700.0,32213400,9157000.0,4424500.0,28095400.0,13994400.0,7681700.0,67983.0,11998000.0,2421400.0,6529300.0,5041859.0,8703557.0,7569300.0,20393300.0,13657900.0,19146900.0,3198822.0,9527682.0,63585300.0,6802400.0,235340000.0,12054500.0,2134200.0,2797400.0,4912300.0,15668400.0,19161600.0,19568400.0,0.0,0.0
2015-01-30,334982000.0,5318200.0,477122000.0,7210500.0,11271100.0,26605200,8150700.0,3817400.0,38419100.0,20584700.0,10212300.0,8626.0,14555900.0,3037400.0,7000000.0,4561422.0,6865526.0,10676300.0,26943700.0,19193700.0,12385400.0,4260032.0,12667071.0,78004900.0,8106400.0,298200000.0,14685300.0,2972100.0,3675400.0,5397500.0,22151600.0,22768000.0,30840600.0,0.0,0.0
2015-02-02,250956400.0,3832500.0,204638000.0,5459300.0,6790900.0,30612100,7149000.0,3495200.0,29417000.0,11537600.0,9392000.0,1654.0,8885200.0,2975300.0,5012800.0,3964910.0,4928961.0,8990700.0,20308900.0,15197500.0,6751400.0,2846121.0,9711502.0,50352500.0,8056600.0,259604000.0,10278700.0,2193600.0,2060600.0,4657100.0,13665200.0,23172300.0,20781600.0,0.0,0.0
2015-02-03,207662800.0,4298400.0,124252000.0,5586200.0,5978200.0,40783700,10895300.0,3474200.0,28044300.0,14266700.0,12329100.0,2380.0,8255900.0,3766900.0,5969200.0,3076375.0,5794212.0,10005200.0,18812500.0,13193100.0,7373000.0,3115341.0,12028420.0,52082400.0,7940200.0,183468000.0,10747900.0,2694300.0,2478500.0,4192600.0,15075600.0,21481800.0,24850500.0,0.0,0.0
2015-02-04,280598800.0,5827100.0,83398000.0,6155700.0,4766200.0,26594300,8806500.0,3013100.0,27696300.0,10176000.0,32640500.0,668.0,5386700.0,2980500.0,6765200.0,2742729.0,3847711.0,9514100.0,14934100.0,16400000.0,6464800.0,2826866.0,20380142.0,41614800.0,7187400.0,181516000.0,9212800.0,2285100.0,2308200.0,4768900.0,22170800.0,19937400.0,26796900.0,0.0,0.0
2015-02-05,168984800.0,3564400.0,144952000.0,3966600.0,4252600.0,22516400,6640200.0,2513000.0,20548400.0,7533300.0,14089500.0,133.0,6879900.0,2434400.0,4471800.0,2844003.0,5495266.0,6642200.0,11293900.0,11078500.0,5564100.0,2452398.0,13268099.0,36548200.0,5754400.0,140448000.0,6531300.0,1608600.0,1705700.0,3297700.0,16565600.0,18762300.0,15272400.0,0.0,0.0
2015-02-06,174826400.0,3242700.0,77848000.0,5139700.0,4398800.0,24435300,5581500.0,2714200.0,25482400.0,7655500.0,8535200.0,432.0,13206900.0,3250900.0,4223700.0,2676178.0,3406299.0,9215700.0,25214000.0,12366400.0,4662700.0,2184972.0,10338310.0,34616600.0,7381800.0,210524000.0,8429800.0,1714200.0,2482500.0,3661400.0,11242000.0,47425400.0,16852800.0,0.0,0.0
2015-02-09,155559200.0,3236400.0,54492000.0,3101300.0,4202900.0,27791300,7693800.0,2879000.0,23681000.0,6403000.0,5461800.0,319.0,5237200.0,2421900.0,4243800.0,2507908.0,3198354.0,9851700.0,14372400.0,13371100.0,8203000.0,2479308.0,10494777.0,31381100.0,7339400.0,273944000.0,8811500.0,1992600.0,2206900.0,3909700.0,7834400.0,21052900.0,16368600.0,0.0,0.0
2015-02-10,248034000.0,4108600.0,45744000.0,3589900.0,4034900.0,21115100,6569100.0,3093700.0,22250300.0,7033700.0,5726300.0,231.0,4086300.0,2556300.0,5414400.0,1894815.0,4644868.0,12275500.0,16367300.0,32184200.0,4697600.0,2254580.0,9997291.0,29670700.0,7694600.0,226204000.0,7059300.0,1932900.0,2065500.0,5437400.0,9396800.0,15100800.0,17196300.0,0.0,0.0
2015-02-11,294247200.0,3998700.0,55730000.0,4374800.0,3272700.0,17201900,5722600.0,3413700.0,46213500.0,8662000.0,5868200.0,102.0,6784400.0,4079600.0,4552900.0,2141877.0,3793528.0,8177000.0,13061900.0,20496300.0,5153900.0,2027340.0,10987127.0,38262500.0,8541000.0,320832000.0,7184600.0,1549500.0,1865500.0,3798500.0,8795600.0,19402900.0,17559300.0,0.0,0.0
2015-02-12,297898000.0,2935800.0,55822000.0,32653100.0,2998900.0,15206200,4623000.0,5284800.0,117439100.0,6618000.0,6816800.0,99.0,4344400.0,3086700.0,4592200.0,2161353.0,3486423.0,25835200.0,23211300.0,13818200.0,7910100.0,1932377.0,7553670.0,33268800.0,11855800.0,676904000.0,6074600.0,1428600.0,2151900.0,3378000.0,11641600.0,20447300.0,20824800.0,0.0,0.0
2015-02-13,217088800.0,3591400.0,69502000.0,34874400.0,3418600.0,42744400,5645500.0,5107000.0,50656700.0,7494400.0,5175600.0,65.0,4108900.0,2720400.0,5098600.0,2192625.0,3877417.0,11153600.0,16479100.0,10792100.0,6762200.0,2143232.0,8278466.0,40264900.0,7695600.0,310084000.0,6272000.0,1569000.0,2232200.0,3727600.0,8476000.0,14619600.0,16791000.0,0.0,0.0
2015-02-17,252609600.0,3895600.0,73464000.0,18578300.0,3622400.0,27363100,3924400.0,3447200.0,34217200.0,7097300.0,4759300.0,204.0,7225200.0,2123300.0,6028600.0,2557877.0,3027647.0,8627100.0,15308800.0,12804200.0,5972000.0,2512676.0,10676290.0,33695700.0,7371000.0,203340000.0,10310400.0,1524600.0,3307900.0,3430600.0,6810400.0,15363700.0,15261600.0,0.0,0.0
2015-02-18,179566800.0,3297900.0,53012000.0,13417000.0,3722100.0,25200800,3568600.0,2534300.0,24503700.0,6920300.0,3760200.0,147.0,8336000.0,1850700.0,3731600.0,2522933.0,4558886.0,7878200.0,14278100.0,9789800.0,5617500.0,1856192.0,11039842.0,27111700.0,8143800.0,170948000.0,8132300.0,1324200.0,1829800.0,2958700.0,6429200.0,13513400.0,18098100.0,0.0,0.0
2015-02-19,149449600.0,3913900.0,59076000.0,20858000.0,4384000.0,18270500,5733500.0,2320900.0,21477800.0,9721100.0,5094100.0,65.0,6528700.0,1470400.0,5910600.0,2183166.0,3665602.0,10028200.0,11256500.0,16578300.0,6312200.0,1971965.0,10308338.0,27603400.0,6605200.0,169432000.0,7271600.0,1122300.0,2155600.0,2674800.0,5654800.0,11609800.0,55940400.0,0.0,0.0
2015-02-20,195793600.0,4411100.0,65160000.0,11348700.0,9366000.0,23876700,6029400.0,3473800.0,25985600.0,7610600.0,5197000.0,51.0,6681700.0,2317100.0,7276100.0,3755686.0,3507238.0,10085700.0,15379000.0,15982400.0,8155000.0,2890254.0,12161830.0,29721100.0,7398000.0,157752000.0,9581300.0,1353300.0,2177200.0,4647100.0,9034800.0,13481500.0,41521200.0,0.0,0.0
2015-02-23,283896400.0,3094300.0,43540000.0,6868600.0,8653700.0,16400000,5180000.0,4671400.0,24026800.0,6724000.0,5587100.0,268.0,4812400.0,1691100.0,5638000.0,3423042.0,2839262.0,6878200.0,16814000.0,11830300.0,5682000.0,2195856.0,9002215.0,32518800.0,4622200.0,125008000.0,7919200.0,1424100.0,1817300.0,7060000.0,6654800.0,12255700.0,20191200.0,0.0,0.0
2015-02-24,276912400.0,2060500.0,38416000.0,10951000.0,4391700.0,14200400,3678700.0,5481700.0,18479500.0,5708400.0,4098800.0,151.0,7612900.0,2627300.0,12775500.0,2617751.0,4917874.0,6587200.0,22937700.0,12782700.0,5643600.0,2117279.0,8084377.0,25271700.0,5239200.0,149356000.0,6502200.0,1300500.0,1530200.0,3582800.0,9045200.0,16307000.0,15593100.0,0.0,0.0
2015-02-25,298846800.0,3262800.0,63490000.0,8184700.0,4800500.0,11496200,3449500.0,7634000.0,17368100.0,4806500.0,6547200.0,570.0,5032500.0,2775700.0,7328200.0,2385267.0,4188812.0,9684000.0,18307900.0,10323300.0,16751600.0,2414844.0,8861050.0,29759800.0,7053600.0,123820000.0,5975800.0,1322400.0,2028900.0,3845900.0,6842800.0,11398900.0,20425200.0,0.0,0.0
