stock,pearson_btc,pearson_gold
AAPL,0.190073722032766,0.03372206820812473
AMGN,0.10505110465470652,0.026586047354759265
AMZN,0.17100826930946902,0.03499261102048018
AXP,0.1992601665793866,-0.0022660336394732996
BA,0.15905065092127257,0.05382843975470782
CAT,0.14241030370428687,0.028511060827191452
CRM,0.1763069952527465,0.034535223296568156
CSCO,0.1669151482729143,0.0261104220532827
CVX,0.12839427268429712,0.08453555502956252
DIS,0.20431617414769057,0.02164275405704198
GC=F,0.08333663908919273,0.8903604656665232
GS,0.2060782724334365,-0.04791807235425192
HD,0.15395358282519186,0.056536931223904074
HON,0.14682957003181143,0.04679788412355324
IBM,0.11551326673261543,0.030590515340408523
JNJ,0.08411508021036512,0.052807774478218904
JPM,0.16894900488755624,-0.08063019317378983
KO,0.08430159380413835,0.09662905407518306
MCD,0.10503734523441713,0.05891270622732847
MMM,0.12224899080228464,0.018133014228349283
MRK,0.08280297559254615,0.0002177505965698416
MSFT,0.21052648556124864,0.020838012418943442
NKE,0.16428309496621288,0.010786864479658483
NVDA,0.19360448770900268,0.024769270149082027
PG,0.0869093828919739,0.08975373337204928
SHW,0.1025275459603132,0.05408810495624872
TRV,0.09319069385978872,0.021207028854151287
UNH,0.09002002583960146,0.007928470528089468
V,0.18013765333435705,0.008723494917466303
VZ,0.07239147323425835,0.06531055688059091
WMT,0.12202622672174696,0.05125979220846649
^IRX,-0.009473269609389271,-0.037092099848149776
"^TNX
",0.021859324358518454,-0.3108998256378533
